"song_name","genre","duration[s]","sample_rate","processing_time_demucs[s]","bpm_song","bpm_drums","bpm_hpss","key_song","key_demucs","key_hpss","key_song_cqt","key_demucs_cqt","key_hpss_cqt","manual_bpm","manual_key","agreement_bpm","agreement_key"
"Bob Dylan - Blowin in the Wind.wav","folk","170.23","44100","128.56","172.27","123.05","172.27","A Major","D Major","A Major","D Major","D Major","D Major","87","D Major","23.2","2"
"Disturbed - The Sound Of Silence.wav","folk","262.41","44100","189.91","114.84","129.2","114.84","F# Minor","F# Minor","F# Minor","F# Minor","F# Minor","F# Minor","85","F# Minor","6.77","3"
"Leaving On A Jet Plane - John Denver.wav","folk","241.84","44100","137.58","120.19","120.19","120.19","G Major","G Major","G Major","G Major","G Major","G Major","121","G Major","0","3"
"Simon Garfunkel - Scarborough FairCanticle.wav","folk","191.66","44100","117.29","129.2","126.05","129.2","E Minor","E Minor","E Minor","E Minor","E Minor","E Minor","129","E Minor","1.49","3"
"The Animals - House Of The Rising Sun.wav","folk","260.16","44100","149.37","123.05","123.05","126.05","A Minor","E Major","A Minor","A Minor","A Minor","A Minor","116","A Minor","1.41","2"
"Average White Band - Pick up the Pieces.wav","funk","234.6","44100","141.57","109.96","109.96","109.96","D# Major","C Minor","D# Major","A# Major","D# Major","A# Major","108","F Minor","0","2"
"James Brown - Get Up Offa That Thing.wav","funk","250.22","44100","140.45","117.45","117.45","117.45","E Minor","F# Minor","E Minor","E Minor","E Minor","E Minor","118","E Minor","0","2"
"Parliament - Give Up The Funk Tear The Roof Off The Sucker.wav","funk","348.21","44100","195.83","105.47","105.47","105.47","B Minor","B Minor","B Minor","C# Minor","B Minor","C# Minor","105","E Minor","0","3"
"Rick James - Super Freak.wav","funk","202.99","44100","135.12","132.51","132.51","132.51","A Minor","A Minor","A Minor","A Minor","A Minor","A Minor","132","A Minor","0","3"
"Wild Cherry - Play That Funky.wav","funk","302.39","44100","230.25","109.96","109.96","109.96","D Minor","B Minor","E Major","E Major","D Minor","E Minor","109","E Minor","0","1"
"Eminem - Lose Yourself.wav","hiphop","327.56","44100","269.64","172.27","172.27","172.27","D Minor","D Minor","D Minor","D Major","D Minor","D Major","171","D Minor","0","3"
"Kendrick Lamar - HUMBLE.wav","hiphop","183.67","44100","154.79","152","152","152","E Minor","A# Minor","E Minor","C# Major","D# Major","C# Minor","152","C# Minor","0","2"
"Nas - N.Y. State of Mind.wav","hiphop","295.59","44100","165.14","126.05","84.72","166.71","A# Minor","A# Minor","G# Major","F Minor","C# Major","F Minor","84","C# Minor","33.47","2"
"The Notorious B.I.G. - Juicy.wav","hiphop","252.56","44100","141.19","97.51","97.51","97.51","C# Minor","E Major","C# Minor","C# Minor","E Major","C# Minor","96","E Major","0","2"
"Wu-Tang Clan - C.R.E.A.M..wav","hiphop","242.25","44100","144.33","90.67","90.67","90.67","F# Minor","F# Minor","F# Minor","F Minor","C# Major","F Minor","92","F# Minor","0","3"
"Avicii - Levels.wav","house","198.41","44100","139.49","126.05","126.05","126.05","C# Minor","C# Minor","C# Minor","E Major","E Major","E Major","126","C# Minor","0","3"
"Eric Prydz - Call On Me.wav","house","174.01","44100","139.48","126.05","126.05","126.05","A# Major","A# Major","A# Major","A# Major","A# Major","A# Major","126","D# Major","0","3"
"Eric Prydz - Pjanoo.wav","house","198.34","44100","148.69","126.05","126.05","126.05","D Minor","D Minor","D Minor","G Minor","G Minor","G Minor","126","G Minor","0","3"
"Robin S - Show Me Love.wav","house","239.77","44100","190.7","120.19","120.19","120.19","F Major","F Major","F Major","D Minor","A Minor","D Minor","120","F Major","0","3"
"Swedish House Mafia ft. John Martin - Dont You Worry Child.wav","house","215.06","44100","168.14","129.2","129.2","129.2","D Major","D Major","D Major","D Major","B Minor","D Major","129","B Minor","0","3"
"Cannonball Adderley - Autumn Leaves.wav","jazz","659.54","44100","524.91","112.35","112.35","112.35","D Minor","D Minor","D Minor","D Minor","D Minor","D Minor","112","G Minor","0","3"
"Dave Brubeck - Take Five.wav","jazz","329.56","44100","266.3","123.05","126.05","126.05","D# Major","D# Major","G# Major","D# Major","D# Minor","D# Major","172","D# Minor","1.41","2"
"Miles Davis - All Blues.wav","jazz","693.86","44100","541.48","139.67","139.67","139.67","D Minor","D Minor","D Minor","D Minor","D Minor","D Minor","139","G Major","0","3"
"Miles Davis - Blue In Green.wav","jazz","338.71","44100","268.73","120.19","123.05","120.19","A Minor","C Major","A Minor","D Minor","D Minor","D Minor","120","D Minor","1.35","2"
"Miles Davis - So What.wav","jazz","563.62","44100","2322.6","136","136","136","D Minor","A Minor","D Minor","D Minor","D Minor","D Minor","136","D Minor","0","2"
"BLACKPINK - DDU-DU DDU-DU.wav","kpop","215.32","44100","119.02","139.67","139.67","139.67","E Minor","E Minor","E Minor","E Minor","E Minor","E Minor","140","E Minor","0","3"
"BTS - Butter.wav","kpop","164.51","44100","98.67","109.96","109.96","109.96","G# Major","G# Major","G# Major","G# Major","G# Major","G# Major","110","G# Major","0","3"
"BTS - Dynamite.wav","kpop","223.42","44100","151.32","114.84","114.84","114.84","E Major","E Major","E Major","F# Major","E Major","F# Major","114","E Major","0","3"
"PSY - Gangnam Style.wav","kpop","219.52","44100","169.08","132.51","132.51","132.51","B Minor","B Major","B Minor","G# Minor","B Major","G# Minor","132","B Minor","0","2"
"iKON - LOVE SCENARIO.wav","kpop","211.77","44100","170.93","117.45","117.45","117.45","D Major","B Minor","D Major","G Major","B Minor","G Major","118","E Minor","0","2"
"Don Omar - Danza Kuduro.wav","latin","198.81","44100","160.83","129.2","103.36","129.2","C Major","E Minor","C Major","A Minor","C Major","A Minor","130","C Major","12.18","2"
"Enrique Iglesias - Bailando ft. Descemer Bueno Gente De Zona.wav","latin","286.84","44100","224.56","120.19","90.67","120.19","B Minor","E Minor","B Minor","E Minor","G Major","E Minor","91","E Minor","13.92","2"
"Juanes - La Camisa Negra.wav","latin","217.06","44100","169.7","97.51","97.51","97.51","F# Minor","F# Minor","F# Minor","F# Minor","F# Minor","F# Major","96","F# Minor","0","3"
"Luis Fonsi - Despacito ft. Daddy Yankee.wav","latin","281.57","44100","217.29","120.19","89.1","120.19","D Major","D Major","D Major","D Major","D Major","D Major","89","B Minor","14.65","3"
"Ricky Martin - Livin La Vida Loca.wav","latin","244.02","44100","189.21","117.45","89.1","89.1","G# Major","C# Major","G# Major","C# Major","C# Major","C# Major","89","C# Minor","13.36","2"
"Holy Wars - The Punishment Due.wav","metal","392.61","44100","304.26","120.19","84.72","120.19","E Minor","E Minor","E Minor","E Minor","E Major","E Minor","84","E Minor","16.72","3"
"Iron Maiden - Fear of The Dark.wav","metal","437.07","44100","331.31","105.47","147.66","105.47","D Minor","D Major","D Minor","D Minor","D Minor","D Minor","106","D Minor","19.89","2"
"Judas Priest - Painkiller.wav","metal","367.73","44100","272.15","103.36","103.36","103.36","A Minor","E Major","A Minor","E Major","E Major","E Major","103","C# Minor","0","2"
"Metallica - Enter Sandman.wav","metal","330.95","44100","254.29","123.05","123.05","123.05","E Minor","E Minor","E Minor","E Major","E Major","E Major","123","E Minor","0","3"
"Metallica - Master of Puppets.wav","metal","516.71","44100","756.13","105.47","105.47","105.47","E Minor","E Minor","E Minor","E Minor","E Minor","E Minor","105","E Minor","0","3"
"Dua Lipa - Levitating.wav","pop","230.16","44100","211.64","103.36","103.36","103.36","B Minor","B Minor","B Minor","E Major","B Minor","E Major","103","B Minor","0","3"
"Ed Sheeran - Shape of You.wav","pop","263.27","44100","149.46","129.2","129.2","129.2","C# Minor","C# Minor","C# Minor","F# Minor","F# Minor","F# Minor","96","C# Minor","0","3"
"Katy Perry - Firework.wav","pop","233.29","44100","128.27","123.05","123.05","123.05","D# Major","D# Major","D# Major","G# Major","D# Major","G# Major","124","G# Major","0","3"
"Lady Gaga - Bad Romance.wav","pop","308.43","44100","171.36","120.19","120.19","120.19","E Minor","A Minor","E Minor","A Minor","A Minor","A Minor","120","A Minor","0","2"
"The Weekend - Blinding Lights.wav","pop","262.57","44100","194.67","114.84","86.13","86.13","F Minor","C Minor","F Minor","F Minor","C Minor","F Minor","86","F Minor","13.53","2"
"Green Day - American Idiot.wav","punk","181.44","44100","140.38","123.05","92.29","92.29","G# Major","G# Major","G# Major","G# Major","G# Major","G# Major","92","G# Major","14.5","3"
"Green Day - Basket Case.wav","punk","194.33","44100","163.68","117.45","117.45","117.45","A# Major","D Minor","A# Major","D# Major","A# Major","D# Major","170","D# Major","0","2"
"Ramonos - Blitzkrieg Bop.wav","punk","132.82","44100","94.33","117.45","87.59","87.59","E Major","E Major","E Major","A Major","A Major","A Major","89","A Major","14.08","3"
"The Offspring - Self Esteem.wav","punk","257.86","44100","212.7","107.67","107.67","107.67","A Minor","C Minor","A Minor","C Major","C Major","C Major","105","A Minor","0","2"
"The Offspring - The Kids Arent Alright.wav","punk","179.61","44100","145.7","99.38","99.38","99.38","C# Major","C# Major","C# Major","C# Major","C# Major","C# Major","100","A# Minor","0","3"
"Eminem - Not Afraid.wav","rap","258.79","44100","212.83","114.84","114.84","114.84","C Minor","G Minor","C Minor","G Minor","D# Major","G Minor","112","C Minor","0","2"
"Eminem - Rap God Explicit.wav","rap","369.24","44100","296.09","147.66","147.66","147.66","D Minor","G Minor","D Minor","G Minor","G Minor","G Minor","148","G Minor","0","2"
"Eminem ft. Juice WRLD - Godzilla.wav","rap","210.91","44100","159.47","109.96","166.71","109.96","A# Minor","D# Minor","A# Minor","D# Minor","D# Minor","D# Minor","166","D# Minor","26.75","2"
"Lil Nas X Jack Harlow - INDUSTRY BABY.wav","rap","235.29","44100","176.18","147.66","152","147.66","D# Minor","D# Minor","D# Minor","D# Major","D# Minor","D# Major","150","D# Minor","2.05","3"
"Travis Scott - SICKO MODE ft. Drake.wav","rap","322.97","44100","252.6","156.61","103.36","156.61","A Major","A# Major","A Major","D Minor","A# Major","D# Major","155","A# Major","25.1","2"
"Bob Marley - Could You Be Loved.wav","reggae","235.22","44100","185.21","103.36","103.36","103.36","B Minor","B Minor","B Minor","B Minor","B Minor","B Minor","103","B Minor","0","3"
"Bob Marley - No Woman No Cry.wav","reggae","430.61","44100","329.77","156.61","156.61","156.61","F Minor","F Minor","F Minor","F Minor","C# Major","C# Major","156","C Major","0","3"
"Bob Marley The Wailers - Three Little Birds.wav","reggae","192.21","44100","145.86","147.66","147.66","147.66","A Major","A Major","A Major","A Major","A Major","A Major","148","A Major","0","3"
"Bob Marley The Wailers -I Shot The Sheriff.wav","reggae","281.08","44100","12527.44","97.51","97.51","97.51","G Minor","G Minor","G Minor","G Minor","G Minor","G Minor","97","G Minor","0","3"
"UB40 - Red Red Wine.wav","reggae","320.97","44100","185.98","89.1","89.1","89.1","C# Minor","C# Major","C# Minor","C# Minor","C# Major","C# Minor","89","C# Major","0","2"
"Beyoncé - Irreplaceable.wav","rnb","227.42","44100","131.78","117.45","117.45","117.45","F Major","F Major","F Major","G Minor","F Major","G Minor","87","G Minor","0","3"
"John Legend - Ordinary People.wav","rnb","281.36","44100","203.82","129.2","129.2","101.33","D Minor","D Minor","D Minor","A# Major","A# Major","A# Major","134","F Major","13.14","3"
"Mariah Carey - We Belong Together.wav","rnb","202.9","44100","143.46","139.67","139.67","139.67","C Minor","G Major","C Minor","C Major","G Major","C Major","140","C Major","0","2"
"Miguel - Adorn.wav","rnb","219.61","44100","166.56","120.19","89.1","89.1","D Major","D Major","D Major","E Minor","D Major","E Minor","90","D Major","14.65","3"
"TLC - No Scrubs.wav","rnb","249.68","44100","187.81","92.29","184.57","92.29","B Minor","G# Minor","A# Minor","G# Minor","G# Minor","G# Minor","92","G# Minor","43.5","1"
"Bon Jovi - Livin On A Prayer.wav","rock","248.85","44100","184.47","123.05","123.05","123.05","E Minor","E Minor","E Minor","E Minor","E Minor","E Minor","123","E Minor","0","3"
"Deep Purple - Smoke On the Water.wav","rock","374.58","44100","291.7","114.84","114.84","114.84","G Minor","G Minor","G Minor","G Minor","G Minor","G Minor","114","G Minor","0","3"
"Eagles - Hotel California.wav","rock","404.75","44100","301.46","147.66","147.66","147.66","F# Minor","B Minor","F# Minor","F# Minor","B Minor","F# Minor","148","B Minor","0","2"
"Guns N Roses - Sweet Child O Mine.wav","rock","303","44100","226.89","126.05","126.05","126.05","C# Major","G# Major","C# Major","C# Major","C# Major","C# Major","123","D Major","0","2"
"Queen - Bohemian Rhapsody.wav","rock","359.49","44100","211.94","143.55","143.55","143.55","A# Major","D# Major","A# Major","A# Major","A# Major","A# Major","144","A# Major","0","2"
"Al Green - Lets Stay Together.wav","soul","200.02","44100","113.39","101.33","101.33","101.33","C Major","F Major","C Major","D Minor","F Major","D Minor","103","G Minor","0","2"
"Aretha Franklin - Respect.wav","soul","150.14","44100","89.96","114.84","114.84","114.84","G Minor","A Minor","G Minor","C Major","C Major","G Major","114","C Major","0","2"
"Creedence Clearwater Revival - I Heard It Through The Grapevine.wav","soul","232.08","44100","144.89","123.05","123.05","123.05","D# Minor","D# Minor","D# Minor","D# Major","D# Major","D# Major","118","D Minor","0","3"
"Marvin Gaye - Aint No Mountain High Enough.wav","soul","151.56","44100","115.69","129.2","129.2","129.2","B Minor","B Minor","G Major","E Minor","B Minor","E Minor","129","B Minor","0","2"
"The Temptations - My Girl.wav","soul","164.58","44100","129.3","105.47","105.47","105.47","E Minor","E Minor","E Minor","C Major","C Major","C Major","104","C Major","0","3"
"Ben Klock - Subzero.wav","techno","381.62","44100","299.35","126.05","126.05","126.05","A Major","F# Minor","A Major","A Major","C# Major","A Major","125","C# Minor","0","2"
"Dj Rolando - Knight of the Jaguar.wav","techno","397.22","44100","305.23","136","136","136","D Minor","D Minor","D Minor","F Major","D Minor","F Major","138","D Minor","0","3"
"Jeff Mills - The Bells.wav","techno","289.2","44100","230.01","136","136","136","A Minor","A Minor","A Minor","A Minor","E Major","A Minor","138","A Minor","0","3"
"Joey Beltram - Energy Flash.wav","techno","353.11","44100","278.74","123.05","123.05","123.05","F# Minor","F# Minor","F# Minor","G# Minor","G# Major","G# Minor","123","G# Major","0","3"
"Plastikman - Spastik.wav","techno","487.25","44100","390.2","126.05","126.05","126.05","D# Major","D# Minor","D# Major","G# Minor","D# Minor","G# Minor","126","D# Minor","0","2"
"Armin van Buuren - Communication.wav","trance","250.85","44100","193.82","136","136","136","C Minor","C Minor","C Minor","C Major","C Minor","A Minor","135","C Major","0","3"
"Cosmic Gate - Exploration Of Space.wav","trance","214.62","44100","172.48","139.67","139.67","139.67","C Major","C Major","C Major","A Minor","C Major","A Minor","138","A Minor","0","3"
"Paul van Dyk - For An Angel.wav","trance","180.21","44100","137.42","132.51","132.51","132.51","A Minor","A Minor","A Minor","D Major","A Minor","D Major","138","A Minor","0","3"
"Robert Miles - Children Dream.wav","trance","453.02","44100","3627.42","136","136","136","F Minor","F Minor","F Minor","F Minor","F Minor","F Minor","137","F Minor","0","3"
"Tiesto - Adagio For Strings.wav","trance","205.84","44100","123.81","143.55","143.55","143.55","A# Minor","A# Minor","A# Minor","A# Minor","A# Minor","A# Minor","140","A# Minor","0","3"
