song_name,genre,duration [s],sample_rate,processing_time_demucs,bpm_song,bpm_drums,bpm_hpss,key_song,confidence_song,key_demucs,confidence_demucs,key_hpss,confidence_hpss,manual_bpm,manual_key,agreement_bpm,agreement_key
Ricky Martin - Livin La Vida Loca.wav,latin,244.02,44100,184.69,117.45,89.1,89.1,G# Major,0.6951,C# Major,0.8311,G# Major,0.7086,89,C# Minor,13.36,2
Holy Wars - The Punishment Due.wav,metal,392.61,44100,317.64,120.19,84.72,120.19,E Minor,0.6053,E Minor,0.5644,E Minor,0.5628,84,E Minor,16.72,3
Iron Maiden - Fear of The Dark.wav,metal,437.07,44100,356.06,105.47,147.66,105.47,D Minor,0.652,D Major,0.6079,D Minor,0.68,106,D Minor,19.89,2
Judas Priest - Painkiller.wav,metal,367.73,44100,285.15,103.36,103.36,103.36,A Minor,0.4335,E Major,0.5508,A Minor,0.4676,103,C# Minor,0,2
Metallica - Enter Sandman.wav,metal,330.95,44100,256.17,123.05,123.05,123.05,E Minor,0.5579,E Minor,0.461,E Minor,0.5161,123,E Minor,0,3
Metallica - Master of Puppets.wav,metal,516.71,44100,389.09,105.47,105.47,105.47,E Minor,0.3077,E Minor,0.3105,E Minor,0.2991,105,E Minor,0,3
Dua Lipa - Levitating.wav,pop,230.16,44100,184.02,103.36,103.36,103.36,B Minor,0.603,B Minor,0.6206,B Minor,0.5895,103,B Minor,0,3
Ed Sheeran - Shape of You.wav,pop,263.27,44100,223.12,129.2,129.2,129.2,C# Minor,0.6485,F# Minor,0.601,C# Minor,0.6504,96,C# Minor,0,2
Katy Perry - Firework.wav,pop,233.29,44100,182.51,123.05,123.05,123.05,D# Major,0.8401,D# Major,0.7624,D# Major,0.8198,124,G# Major,0,3
Lady Gaga - Bad Romance.wav,pop,308.43,44100,243.59,120.19,120.19,120.19,E Minor,0.7448,A Minor,0.7856,E Minor,0.7119,120,A Minor,0,2
The Weekend - Blinding Lights.wav,pop,262.57,44100,203.94,114.84,86.13,86.13,F Minor,0.531,C Minor,0.523,F Minor,0.5096,86,F Minor,13.53,2
Green Day - American Idiot.wav,punk,181.44,44100,133.39,123.05,92.29,92.29,G# Major,0.6907,G# Major,0.7307,G# Major,0.6092,92,G# Major,14.5,3
Green Day - Basket Case.wav,punk,194.33,44100,161.75,117.45,117.45,117.45,A# Major,0.8136,D Minor,0.648,A# Major,0.7895,170,D# Major,0,2
Ramones - Blitzkrieg Bop.wav,punk,132.82,44100,111.48,117.45,87.59,87.59,E Major,0.5668,E Major,0.5991,E Major,0.4958,89,A Major,14.08,3
The Offspring - Self Esteem.wav,punk,257.86,44100,202.46,107.67,107.67,107.67,A Minor,0.3625,C Minor,0.3486,A Minor,0.403,105,A Minor,0,2
The Offspring - The Kids Arent Alright.wav,punk,179.61,44100,141.58,99.38,99.38,99.38,C# Major,0.7385,C# Major,0.7756,C# Major,0.7339,100,A# Minor,0,3
Eminem - Not Afraid.wav,rap,258.79,44100,212.09,114.84,114.84,114.84,C Minor,0.5681,G Minor,0.8535,C Minor,0.5656,112,C Minor,0,2
Eminem - Rap God Explicit.wav,rap,369.24,44100,309.78,147.66,147.66,147.66,D Minor,0.4239,G Minor,0.6621,D Minor,0.4424,148,G Minor,0,2
Eminem ft. Juice WRLD - Godzilla.wav,rap,210.91,44100,155.39,109.96,166.71,109.96,A# Minor,0.5094,D# Minor,0.4612,A# Minor,0.4388,166,D# Minor,26.75,2
Lil Nas X Jack Harlow - INDUSTRY BABY.wav,rap,235.29,44100,183.34,147.66,152,147.66,D# Minor,0.5341,D# Minor,0.7742,D# Minor,0.5477,150,D# Minor,2.05,3
Travis Scott - SICKO MODE ft. Drake.wav,rap,322.97,44100,252.32,156.61,103.36,156.61,A Major,0.4197,A# Major,0.4049,A Major,0.4465,155,A# Major,25.1,2
Bob Marley - Could You Be Loved.wav,reggae,235.22,44100,187.39,103.36,103.36,103.36,B Minor,0.7658,B Minor,0.7686,B Minor,0.7767,103,B Minor,0,3
Bob Marley - No Woman No Cry.wav,reggae,430.61,44100,334.38,156.61,156.61,156.61,F Minor,0.5718,F Minor,0.497,F Minor,0.513,156,C Major,0,3
Bob Marley The Wailers - Three Little Birds.wav,reggae,192.21,44100,146.92,147.66,147.66,147.66,A Major,0.7994,A Major,0.8393,A Major,0.7665,148,A Major,0,3
Bob Marley The Wailers - I Shot The Sheriff.wav,reggae,281.08,44100,215.07,97.51,97.51,97.51,G Minor,0.6755,G Minor,0.6781,G Minor,0.5988,97,G Minor,0,3
UB40 - Red Red Wine.wav,reggae,320.97,44100,254.04,89.1,89.1,89.1,C# Minor,0.3223,C# Major,0.7916,C# Minor,0.2681,89,C# Major,0,2
Beyoncé - Irreplaceable.wav,rnb,227.42,44100,170.3,117.45,117.45,117.45,F Major,0.6516,F Major,0.711,F Major,0.7016,87,G Minor,0,3
John Legend - Ordinary People.wav,rnb,281.36,44100,225.35,129.2,129.2,101.33,D Minor,0.6521,D Minor,0.6686,D Minor,0.6501,134,F Major,13.14,3
Mariah Carey - We Belong Together.wav,rnb,202.9,44100,145.28,139.67,139.67,139.67,C Minor,0.4242,G Major,0.6819,C Minor,0.3927,140,C Major,0,2
Miguel - Adorn.wav,rnb,219.61,44100,171.31,120.19,89.1,89.1,D Major,0.4652,D Major,0.4735,D Major,0.4421,90,D Major,14.65,3
TLC - No Scrubs.wav,rnb,249.68,44100,186.61,92.29,184.57,92.29,B Minor,0.3013,G# Minor,0.6007,A# Minor,0.2748,92,G# Minor,43.5,1
Bon Jovi - Livin On A Prayer.wav,rock,248.85,44100,192.44,123.05,123.05,123.05,E Minor,0.696,E Minor,0.7119,E Minor,0.6941,123,E Minor,0,3
Deep Purple - Smoke On the Water.wav,rock,374.58,44100,292.8,114.84,114.84,114.84,G Minor,0.4983,G Minor,0.543,G Minor,0.4803,114,G Minor,0,3
Eagles - Hotel California.wav,rock,404.75,44100,315.79,147.66,147.66,147.66,F# Minor,0.6679,B Minor,0.6942,F# Minor,0.6725,148,B Minor,0,2
Guns N Roses - Sweet Child O Mine.wav,rock,303,44100,234.95,126.05,126.05,126.05,C# Major,0.5535,G# Major,0.7395,C# Major,0.5211,123,D Major,0,2
Queen - Bohemian Rhapsody.wav,rock,359.49,44100,285.73,143.55,143.55,143.55,A# Major,0.7376,D# Major,0.6847,A# Major,0.7088,144,A# Major,0,2
Al Green - Lets Stay Together.wav,soul,200.02,44100,150.82,101.33,101.33,101.33,C Major,0.3058,F Major,0.7619,C Major,0.3198,103,G Minor,0,2
Aretha Franklin - Respect.wav,soul,150.14,44100,104.38,114.84,114.84,114.84,G Minor,0.4457,G Major,0.4115,G Minor,0.3926,114,C Major,0,2
Creedence Clearwater Revival - I Heard It Through The Grapevine.wav,soul,232.08,44100,177.71,123.05,123.05,123.05,D# Minor,0.4629,D# Minor,0.4311,D# Minor,0.4263,118,D Minor,0,3
Marvin Gaye - Aint No Mountain High Enough.wav,soul,151.56,44100,107.79,129.2,129.2,129.2,B Minor,0.4021,B Minor,0.5004,G Major,0.4322,129,B Minor,0,2
The Temptations - My Girl.wav,soul,164.58,44100,127.73,105.47,105.47,105.47,E Minor,0.6599,E Minor,0.6797,E Minor,0.6467,104,C Major,0,3
Ben Klock - Subzero.wav,techno,381.62,44100,324.15,126.05,126.05,126.05,A Major,0.4778,F# Minor,0.3602,A Major,0.4984,125,C# Minor,0,2
Dj Rolando - Knight of the Jaguar.wav,techno,397.22,44100,327.97,136,136,136,D Minor,0.5335,D Minor,0.6378,D Minor,0.5671,138,D Minor,0,3
Jeff Mills - The Bells.wav,techno,289.2,44100,263.38,136,136,136,A Minor,0.605,A Minor,0.614,A Minor,0.5502,138,A Minor,0,3
Joey Beltram - Energy Flash.wav,techno,353.11,44100,295.16,123.05,123.05,123.05,F# Minor,0.244,F# Minor,0.2998,F# Minor,0.2652,123,G# Major,0,3
Plastikman - Spastik.wav,techno,487.25,44100,408.25,126.05,126.05,126.05,D# Major,0.4368,D# Minor,0.3286,D# Major,0.4707,126,D# Minor,0,2
Armin van Buuren - Communication.wav,trance,250.85,44100,217.41,136,136,136,C Minor,0.8775,C Minor,0.8331,C Minor,0.8666,135,C Major,0,3
Cosmic Gate - Exploration Of Space.wav,trance,214.62,44100,180.47,139.67,139.67,139.67,C Major,0.408,C Major,0.4695,C Major,0.401,138,A Minor,0,3
Paul van Dyk - For An Angel.wav,trance,180.21,44100,143.79,132.51,132.51,132.51,A Minor,0.5992,A Minor,0.7163,A Minor,0.6296,138,A Minor,0,3
Robert Miles - Children Dream.wav,trance,453.02,44100,399.7,136,136,136,F Minor,0.8229,F Minor,0.8525,F Minor,0.8215,137,F Minor,0,3
Tiesto - Adagio For Strings.wav,trance,205.84,44100,546.2,143.55,143.55,143.55,A# Minor,0.4963,A# Minor,0.5685,A# Minor,0.4775,140,A# Minor,0,3
